Nama Program;Pemilik Program;Tahun Penyelenggaraan
Pelatihan Teknis Proyeksi Penerimaan Kepabeanan dan Cukai (Blended Learning);Pusat Pendidikan dan Pelatihan Bea dan Cukai;2022
Pelatihan Teknis Special Enforcement Team (SET);Pusat Pendidikan dan Pelatihan Bea dan Cukai;2021
Pelatihan Teknis Tactical Drugs Enforcement;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2023
Pelatihan Teknis Tax Treaty Tingkat Dasar;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Teknik Audit Berbantuan Komputer (TABK) Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Teknik Audit Berbantuan Komputer Perpajakan bagi Pegawai Inspektorat Jenderal Kementerian Keuangan;Pusat Pendidikan dan Pelatihan Pajak;2018
Pelatihan Teknis Tindak Pidana Pencucian Uang (TPPU) yang Berasal dari Tindak Pidana Asal (TPA) Kepabeanan dan Cukai;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2023
Pelatihan Teknis Tindak Pidana Perpajakan (Untuk Hakim, Jaksa, Polisi, dan Penyidik);Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Transfer Pricing Dasar;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Teknis Transfer Pricing Tingkat Dasar Kerjasama DJP dan OECD;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Transnational Organized Crimes;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2019
Pelatihan Teknis Validator Authorized Economic Operator (AEO) ;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
Pelatihan Teknis Visit, Board, Search and Seizure Lanjutan;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
PELATIHAN TEKNIS VISIT, BOARD, SEARCH, AND SEIZURE ;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2019
Pelatihan Tematis Kuasa Pengguna Anggaran;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
Pelatihan Tematis Pejabat Pembuat Komitmen;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2024
Pelatihan Teori Ekonomi Makro Tingkat Dasar;Pusat Pendidikan dan Pelatihan Keuangan Umum;2018
Pelatihan Teori Ekonomi Makro Tingkat Lanjutan;Pusat Pendidikan dan Pelatihan Keuangan Umum;2018
Pelatihan TIK bagi CIO Kantor Vertikal DJKN;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2023
Pelatihan Trainer Sistem Inti Administrasi Perpajakan (SIAP) Modul Pendaftaran, Pengelolaan SPT, Pembayaran, dan TAM;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Treasury Data Analysis (Machine Learning);Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
Pelatihan Treasury Financial Analysis Lanjutan;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2023
Pelatihan Treasury Financial Analysis-Basic;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Pelatihan Treasury Management  Representative-Recruitment;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
Pelatihan Treasury Management Representative - Refreshment;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
Pelatihan Treasury Management Representative - Substantive;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
Pelatihan Treasury Regulatory Impact Analysist;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2019
Pelatihan Tugas dan Fungsi DJBC (E-Learning);Pusat Pendidikan dan Pelatihan Bea dan Cukai;2019
PELATIHAN UNDANG-UNDANG CUKAI (E-LEARNING);Pusat Pendidikan dan Pelatihan Bea dan Cukai;2019
PELATIHAN UNDANG-UNDANG KEPABEANAN (E-LEARNING);Pusat Pendidikan dan Pelatihan Bea dan Cukai;2019
Pelayaran dan Kepelabuhanan (Microlearning Seri 3 dari program E-Learning Perdagangan Internasional);Pusat Pendidikan dan Pelatihan Bea dan Cukai;2023
Pembelajaran After-Action Review dan Implementasinya;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
"Pembelajaran Terintegrasi ""Design Thinking untuk Inovasi yang Berorientasi kepada Pelanggan""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
Pembelajaran Terintegrasi Implementasi Kegiatan Peningkatan Kompetensi Penanganan Perkara di Lingkungan Kantor Wilayah DJKN Suluttenggomalut;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2022
Pembelajaran Terintegrasi Nilai Pabean Dan Klasifikasi Barang Di Lingkungan Kantor Wilayah Djbc Sulawesi Bagian Utara;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2022
Pembelajaran Terintegrasi Pengembangan Frontliner Pusdiklat Keuangan Umum Berkomunikasi menggunakan Bahasa Inggris;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
Pembelajaran Terintegrasi Peningkatan Kompetensi Pejabat Lelang;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2023
Pembelajaran Terintegrasi Penyusunan Makalah/Policy Brief bagi Jabatan Fungsional Asesor SDM Aparatur Madya Kementerian Keuangan;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
Penataran Penguatan Kompetensi Pengelolaan Keuangan Negara pada Satuan Kerja;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
Penataran Sistem Akuntansi Pemerintahan Berbasis Akrual Tingkat Manajerial;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
Pengenalan Dokumen Perdagangan Internasional (Microlearning Seri 2 dari program E-Learning Perdagangan Internasional);Pusat Pendidikan dan Pelatihan Bea dan Cukai;2023
Penindakan Kepabeanan dan Cukai Kantor Wilayah DJBC Sulawesi Bagian Utara;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2023
Peningkatan Komunikasi dan Negosiasi Melalui Pembelajaran Terintegrasi  bagi Pegawai di Lingkungan Kantor Layanan Informasi dan Pengaduan  Direktorat Jenderal Pajak (KLIP DJP);Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2024
Penyegaran Bendahara Pengeluaran;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
Penyegaran Pejabat Lelang;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2019
Penyegaran Penanganan Perkara Direktorat Jenderal Kekayaan Negara (DJKN);Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2020
Penyegaran Pengelolaan Barang Milik Negara (Bagi Pengguna Barang);Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2018
Penyegaran Pengelolaan BMN (Bagi Pengguna Barang);Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2019
PENYEGARAN PENGUATAN PENGELOLAAN BMN  BAGI KUASA PENGGUNA BARANG  KHUSUS PEGAWAI  DIREKTORAT JENDERAL BEA DAN CUKAI;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2018
Penyegaran Penilaian Bisnis Dasar;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2019
Penyegaran Penilaian Properti Dasar;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2019
Penyegaran Penilaian Properti Lanjutan;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2019
Penyegaran Peningkatan Kualitas Pejabat Lelang;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2018
Penyegaran TIK DJKN Bagi PIC TIK;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2024
Perhitungan Bea Masuk dan Pajak Dalam Rangka Impor Barang Bawaan Penumpang (Microlearning Seri 3 dari program E-Learning Ekspor dan Impor Barang Bawaan Penumpang;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2023
PJJ Analisis Rasio Laporan Keuangan;Sekretariat Badan;2023
PJJ Latihan Naim;Sekretariat Badan;2023
PJJ Pemanfaatan LMS;Sekretariat Badan;2023
PJJ PRO UKI Kelas Reguler;Sekretariat Badan;2023
Program Magang dan Studi Independen Bersertifikat (MSIB) Angkatan 4 ;Sekretariat Badan;2023
Program Penomoran Sertifikasi;Sekretariat Badan;2022
Program Persiapan (Pre-Departure Training) Beasiswa Ministerial Scholarship;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Program Persiapan (Pre-Departure Training) Beasiswa Ministerial Scholarship (Program Waiver);Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Program Persiapan (Pre-Departure Training) Ministerial Scholarship Program Waiver;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
Program Persiapan (Pre-Departure Training) Ministerial Shcolarship;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
Program Persiapan bagi Penerima Beasiswa Pascasarjana Kementerian Keuangan: Level 2;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Program Persiapan bagi Penerima Beasiswa Pascasarjana Kementerian Keuangan: Level 3;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Program Persiapan bagi Penerima Beasiswa Pascasarjana Kementerian Keuangan: Level 4;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Program Persiapan Keberangkatan;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2019
Proses Bisnis Perdagangan Internasional (Microlearning Seri 1 dari program E-Learning Perdagangan Internasional);Pusat Pendidikan dan Pelatihan Bea dan Cukai;2023
Radiological Nuclear Trafficking Awareness Training;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
Rapat Koordinasi TIK BPPK;Sekretariat Badan;2020
Refreshment Training of Basic Property Valuation;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2018
"Scholarship Sharing Session ""BrosiS"" oBrolan beaSiswa LPDP Tahun 2024";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2024
"Scholarship Sharing Session oBROlan beaSISwa ""BrosiS""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2024
Scholarship Sharing Session: AAS 2022 Information and Detail;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Scholarship Sharing Session: Annyeong Haseyo;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Scholarship Sharing Session: Anti Mainstream Study Destination;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Scholarship Sharing Session: Australia Awards Scholarship 2021;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Scholarship Sharing Session: Australia Awards Scholarships 2023;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
Scholarship Sharing Session: Australia Awards Scholarships Tahun 2024;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2024
Scholarship Sharing Session: Beasiswa Kementerian Keuangan Program Sarjana (S1) Ilmu Hukum 2023;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
Scholarship Sharing Session: Beasiswa Kementerian Kominfo;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Scholarship Sharing Session: Beasiswa LPDP Tahun 2022 dan Sharing Studi Luar Negeri bersama IDP;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Scholarship Sharing Session: Beasiswa LPDP Tahun 2023;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
Scholarship Sharing Session: Beasiswa Program Gelar Sarjana (S1) Ekstensi Sistem Informasi Kementerian Keuangan;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Scholarship Sharing Session: Beasiswa Splite Site Master's Program Tahun 2024;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
Scholarship Sharing Session: Beasiswa Split-Site Master Program Tahun 2023;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Scholarship Sharing Session: Beasiwa Komunikasi dan Informatika Tahun 2022;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Scholarship Sharing Session: Behind the Scenes Jurnal Ilmiah;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Scholarship Sharing Session: Chevening is Coming;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Scholarship Sharing Session: Dasar-Dasar Menulis Esai, Personal Statement dan Proposal Riset;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Scholarship Sharing Session: Data Science dan Pemanfaatannya;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Scholarship Sharing Session: Go to Top 30's;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
Scholarship Sharing Session: Kupas Beasiswa LPDP Bareng Alumni;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Scholarship Sharing Session: Linkage'ers;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Scholarship Sharing Session: Mendapatkan Beasiswa LPDP dan Pengalaman Organisasi;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Scholarship Sharing Session: Ministerial Scholarship 2021;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Scholarship Sharing Session: Ministerial Scholarship 2022;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Scholarship Sharing Session: Ministerial Scholarship 2023;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
Scholarship Sharing Session: New Zealand Scholarship Tahun 2024;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2024
Scholarship Sharing Session: Only a Few;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Scholarship Sharing Session: Other Scholarships;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Scholarship Sharing Session: Program Sarjana (S1) SISTEM INFORMASI 2023;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
Scholarship Sharing Session: Program Studi Diploma IV dan Diploma III Alih Program  Politeknik Keuangan Negara STAN Tahun 2023;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
Scholarship Sharing Session: Program Studi Diploma IV dan Diploma III Alih Program Politeknik Keuangan Negara STAN Tahun 2022;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Scholarship Sharing Session: Study in Mainland Europe;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Scholarship Sharing Session: Understanding Assets and Property Better;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
"Seminar ""Coaching With Happiness""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2019
"Seminar ""Directive Coaching Skill for Effective Leadership Culture""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2019
"Seminar ""Innovation For Self Development""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2019
"Seminar ""Kemenkeu Corpu Talk: Leading Through a Pandemic""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2020
"Seminar ""Kemenkeu Corpu Talk: Winning Against The Pandemic""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2020
"Seminar ""Mengembangkan Budaya Inovasi Melalui Gerakan 5R""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2018
"Seminar ""Menjadi Leader Tangguh di Era Disrupsi""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2019
"Seminar ""Seni Kerja Sehat: Jalan Selaras Menuju Sukses dan Produktivitas""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2019
"Seminar ""Seni Memengaruhi Mitra Bicara""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2019
SEMINAR “ DEVELOPING EXCELLENT HUMAN RESOURCES FOR A BETTER CUSTOMS AND EXCISE ”;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2019
Seminar “Be A Coach Be A Leader”;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2019
Seminar “Cara Mudah Mengklasifikasikan Barang dan Menghitung Nilai Pabean”;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2019
Seminar “Gelar Sosial Kultural dan UMKM Nusantara”;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2023
Seminar Alumni “Menciptakan Lingkungan Kerja yang Sehat”;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Seminar Alumni “Penguatan Nilai-Nilai Kementerian Keuangan: Integritas dan Semangat Anti Korupsi”;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
"Seminar Alumni I ""There's a Hero Lies in You""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2020
"Seminar Alumni II ""Menjaga Keuangan Negara Dalam Kebhinnekaan""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2020
Seminar Alumni Program Beasiswa Kementerian Keuangan;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2019
Seminar Alumni: Pemberdayaan Alumni, Pemulihan Ekonomi, dan Bakti untuk Negeri;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Seminar Alumni: Peran Ibu, dalam Keluarga, Organisasi, dan  Masyarakat;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
"Seminar Bedah Buku “Rokok Dapat Membuimu""";Pusat Pendidikan dan Pelatihan Bea dan Cukai;2021
Seminar Bedah Pasal Tindak Pidana Kepabeanan dan Cukai;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2022
Seminar Bijak Bermedsos;Pusat Pendidikan dan Pelatihan Keuangan Umum;2018
Seminar Community Of Practice (COP) Cukai “Sumbangsih Pemikiran Kemenkeu Terhadap Roadmap Industri Hasil Tembakau”;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2022
"Seminar Community of Practice Cukai ""Kajian Ekstensifikasi Barang Kena Cukai Produk Plastik: Diapers""";Pusat Pendidikan dan Pelatihan Bea dan Cukai;2021
Seminar Dampak Ekonomi Fasilitas Kawasan Berikat dan Kemudahan Impor Tujuan Ekspor;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2019
Seminar Data Analytics: Policies Implementation;Pusat Pendidikan dan Pelatihan Keuangan Umum;2019
Seminar Digital “Pengembangan Teknologi Pembelajaran Dalam Pembuatan Pembelajaran Digital Berbasis Multimedia Interaktif”;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2022
Seminar Digital Creative and Innovative Thinking bagi Pegawai Inspektorat Jenderal;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
"Seminar Digital KCOC ""Kenapa Harus Lapor SPT?""";Pusat Pendidikan dan Pelatihan Pajak;2021
"Seminar Digital KCOC ""Perasaan Bisa Diungkapkan, Harta Kekayaan pun Bisa Diungkapkan""";Pusat Pendidikan dan Pelatihan Pajak;2022
"Seminar Digital KCOC ""Peraturan Pelaksanaan Undang-Undang Cipta Kerja di Bidang Pajak Pertambahan Nilai (PPN)""";Pusat Pendidikan dan Pelatihan Pajak;2021
"Seminar Digital KCOC ""PPS: It's My Dream, Not Theirs!""";Pusat Pendidikan dan Pelatihan Pajak;2022
"Seminar Digital KCOC ""Sosialisasi Undang-Undang Harmonisasi Peraturan Perpajakan""";Pusat Pendidikan dan Pelatihan Pajak;2022
"Seminar Digital KCOC ""Ungkap, Lengkap, Lelap""";Pusat Pendidikan dan Pelatihan Pajak;2022
"Seminar Digital KCOC ""Yesterday and Today"" in International Taxation";Pusat Pendidikan dan Pelatihan Pajak;2021
Seminar Digital Kemenkeu Corporate University Kelas Virtual Malalayang The Series (Manajemen dan Pengelolaan BMD-ku Tersayang) tema Pemanfataan BMN/D;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2023
Seminar Digital Kemenkeu Corporate University Open Class  ”Aspek Hukum Tanah Hijau Dalam Penilaian Properti”;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2022
Seminar Digital Kemenkeu Corporate University Open Class  “Hubungan Keuangan Pusat dan Daerah: Kenali Hubungannya, Tingkatkan Sinerginya”;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2022
Seminar Digital Kemenkeu Corporate University Open Class  “Manajemen Aset Desa untuk Mempercepat Desa Membangun” ;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2021
Seminar Digital Kemenkeu Corporate University Open Class  “Outlook Pasar Properti dan Risiko Transaksi Properti di Masa Pandemi” ;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2021
Seminar Digital Kemenkeu Corporate University Open Class  “Penyusunan RKBMN yang Andal sesuai Regulasi SBSK Terbaru” ;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2021
Seminar Digital Kemenkeu Corporate University Open Class  “Percepatan Perbaikan dan Pemerataan  Layanan Publik melalui RUU HKPD” ;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2021
Seminar Digital Kemenkeu Corporate University Open Class  “Reinventing Juru Sita” ;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2021
Seminar Digital Kemenkeu Corporate University Open Class  Program Pemulihan Ekonomi Nasional (PEN) bagi Usaha Kecil, Mikro dan Menengah (UMKM) di Provinsi Riau;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
"Seminar Digital Kemenkeu Corporate University Open Class ""”Manajemen Stres untuk Meraih Sukses""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
"Seminar Digital Kemenkeu Corporate University Open Class ""Apa Kabar Kesehatan Mental Wahai Pekerja?""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
"Seminar Digital Kemenkeu Corporate University Open Class ""ASN BerAKHLAK: Kerja Profesional dan Penuh Karya untuk Bangsa""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
"Seminar Digital Kemenkeu Corporate University Open Class ""Audit Dana Desa""";Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2021
"Seminar Digital Kemenkeu Corporate University Open Class ""Bersatu Bangun Budaya Antikorupsi""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
"Seminar Digital Kemenkeu Corporate University Open Class ""Build a Great Teamwork, Get the Excellent Work""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
"Seminar Digital Kemenkeu Corporate University Open Class ""Collaboration Ways of Working: Merawat integritas di Era Digital""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
"Seminar Digital Kemenkeu Corporate University Open Class ""Creating an Experience for Your Audiences""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
"Seminar Digital Kemenkeu Corporate University Open Class ""Delayering: Adaptif Kelola Perubahan Menuju Birokrasi Unggul Berkelas Dunia""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
"Seminar Digital Kemenkeu Corporate University Open Class ""Duta Transformasi: Kemenkeu BerAKHLAK""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
"Seminar Digital Kemenkeu Corporate University Open Class ""Excellent Service""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
"Seminar Digital Kemenkeu Corporate University Open Class ""Followership dan Efektivitas Organisasi""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
"Seminar Digital Kemenkeu Corporate University Open Class ""Fostering Innovation Culture and Capabilities""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
"Seminar Digital Kemenkeu Corporate University Open Class ""Gratifikasi, Benturan Kepentingan dan Whistleblowing System""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
"Seminar Digital Kemenkeu Corporate University Open Class ""Hybrid Leadership""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
"Seminar Digital Kemenkeu Corporate University Open Class ""Implementasi PMK 91 Tahun 2023: Penggunaan Dana Bagi Hasil (DBH) Sawit untuk Mendukung Pembangunan Daerah""";Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2023
"Seminar Digital Kemenkeu Corporate University Open Class ""Implementasi PMK Nomor 145 dan 146 Tahun 2023 untuk Perbaikan Pengelolaan Dana Desa dalam Meningkatkan Pembangunan dan Kualitas Desa""";Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2024
"Seminar Digital Kemenkeu Corporate University Open Class ""Implementasi SBSK untuk Optimalisasi BMN""";Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2021
"Seminar Digital Kemenkeu Corporate University Open Class ""Inovasi Kabupaten Kubu Raya dalam Pemanfaatan Data Geospasial untuk Mendorong Belanja Berkualitas untuk Penurunan Prevalensi Stunting""";Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2023
"Seminar Digital Kemenkeu Corporate University Open Class ""Karakter Berkualitas, Pelayanan Naik Kelas""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
"Seminar Digital Kemenkeu Corporate University Open Class ""Kebijakan Pengelolaan Dana Desa yang Efektif, Efisien dan Akuntabel""";Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2021
"Seminar Digital Kemenkeu Corporate University Open Class ""Kebijakan, Mekanisme Penyaluran, Metode Perhitungan Pajak, dan Integritas dalam Pengelolaan Dana Desa""";Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2022
"Seminar Digital Kemenkeu Corporate University Open Class ""Kepemimpinan dalam Bingkai Tipologi Kepribadian""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
"Seminar Digital Kemenkeu Corporate University Open Class ""Kolaborasi Kementerian Keuangan dan PT Bank Rakyat Indonesia Bersama UMKM Membangun Negeri""";Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2022
"Seminar Digital Kemenkeu Corporate University Open Class ""Konsep dan Implementasi Relationship Management dan Engagement of People dalam Manajemen Mutu""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
"Seminar Digital Kemenkeu Corporate University Open Class ""Kopi Daring (Kopdar) Dinamika dan Interaksi dalam Organisasi: Define Your Style!""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
"Seminar Digital Kemenkeu Corporate University Open Class ""Lateral Leadership: Cara Jitu Memimpin Tim Kerja Tanpa Hirarki""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2023
"Seminar Digital Kemenkeu Corporate University Open Class ""Lelang Cessie""";Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2021
"Seminar Digital Kemenkeu Corporate University Open Class ""Malalayang The Series (Manajemen dan Pengelolaan BMD-ku Tersayang""";Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2022
